Item Name,Drops,Rarity,Ducats
Akarius Prime Blueprint,Neo A11 Relic,Gold,100
Akarius Prime Link,Lith R5 Relic,Silver,45
Akarius Prime Link,Meso N17 Relic,Silver,45
Akarius Prime Receiver,Lith A6 Relic,Gold,100
Akbolto Prime Barrel,Lith A3 Relic,Silver,45
Akbolto Prime Barrel,Lith C2 Relic,Silver,45
Akbolto Prime Barrel,Lith K5 Relic,Silver,45
Akbolto Prime Barrel,Lith O1 Relic,Silver,45
Akbolto Prime Barrel,Lith V5 Relic,Silver,45
Akbolto Prime Blueprint,Axi G2 Relic,Bronze,15
Akbolto Prime Blueprint,Axi H5 Relic,Bronze,15
Akbolto Prime Blueprint,Lith M7 Relic,Bronze,15
Akbolto Prime Blueprint,Meso D3 Relic,Bronze,15
Akbolto Prime Blueprint,Neo M1 Relic,Bronze,15
Akbolto Prime Blueprint,Neo V7 Relic,Bronze,15
Akbolto Prime Blueprint,Neo Z2 Relic,Bronze,15
Akbolto Prime Link,Axi H4 Relic,Silver,45
Akbolto Prime Link,Lith S7 Relic,Silver,45
Akbolto Prime Link,Lith W1 Relic,Silver,45
Akbolto Prime Link,Meso E2 Relic,Silver,45
Akbolto Prime Link,Neo B6 Relic,Silver,45
Akbolto Prime Link,Neo K2 Relic,Silver,45
Akbolto Prime Link,Neo N8 Relic,Silver,45
Akbolto Prime Receiver,Axi A12 Relic,Gold,100
Akbolto Prime Receiver,Axi A3 Relic,Gold,100
Akbolto Prime Receiver,Axi A4 Relic,Gold,100
Akbolto Prime Receiver,Meso A2 Relic,Gold,100
Akbolto Prime Receiver,Neo A2 Relic,Gold,100
Akbronco Prime Blueprint,Axi A10 Relic,Bronze,15
Akbronco Prime Blueprint,Axi S11 Relic,Bronze,15
Akbronco Prime Blueprint,Axi S16 Relic,Bronze,15
Akbronco Prime Blueprint,Lith B11 Relic,Bronze,15
Akbronco Prime Blueprint,Lith K9 Relic,Bronze,15
Akbronco Prime Blueprint,Lith P6 Relic,Bronze,15
Akbronco Prime Blueprint,Lith R4 Relic,Bronze,15
Akbronco Prime Blueprint,Lith S2 Relic,Bronze,15
Akbronco Prime Blueprint,Lith S3 Relic,Bronze,15
Akbronco Prime Blueprint,Lith T1 Relic,Bronze,15
Akbronco Prime Blueprint,Lith T8 Relic,Bronze,15
Akbronco Prime Blueprint,Lith V5 Relic,Bronze,15
Akbronco Prime Blueprint,Lith Z1 Relic,Bronze,15
Akbronco Prime Blueprint,Lith Z2 Relic,Bronze,15
Akbronco Prime Blueprint,Meso A5 Relic,Bronze,15
Akbronco Prime Blueprint,Meso B6 Relic,Bronze,15
Akbronco Prime Blueprint,Meso O1 Relic,Bronze,15
Akbronco Prime Blueprint,Meso S3 Relic,Bronze,15
Akbronco Prime Blueprint,Neo D3 Relic,Bronze,15
Akbronco Prime Blueprint,Neo M2 Relic,Bronze,15
Akbronco Prime Blueprint,Neo N15 Relic,Bronze,15
Akbronco Prime Blueprint,Neo P6 Relic,Bronze,15
Akbronco Prime Blueprint,Neo T2 Relic,Bronze,15
Akbronco Prime Link,Axi A18 Relic,Silver,45
Akbronco Prime Link,Axi A9 Relic,Silver,45
Akbronco Prime Link,Axi C5 Relic,Silver,45
Akbronco Prime Link,Axi K8 Relic,Silver,45
Akbronco Prime Link,Axi L5 Relic,Silver,45
Akbronco Prime Link,Axi S1 Relic,Silver,45
Akbronco Prime Link,Lith A2 Relic,Silver,45
Akbronco Prime Link,Lith H7 Relic,Silver,45
Akbronco Prime Link,Lith N1 Relic,Silver,45
Akbronco Prime Link,Lith S5 Relic,Silver,45
Akbronco Prime Link,Meso O2 Relic,Silver,45
Akbronco Prime Link,Meso P13 Relic,Silver,45
Akbronco Prime Link,Meso R1 Relic,Silver,45
Akbronco Prime Link,Neo L2 Relic,Silver,45
Akbronco Prime Link,Neo V10 Relic,Silver,45
Akbronco Prime Link,Neo Z7 Relic,Silver,45
Akjagara Prime Barrel,Lith A3 Relic,Gold,100
Akjagara Prime Barrel,Meso A1 Relic,Gold,100
Akjagara Prime Barrel,Neo A3 Relic,Gold,100
Akjagara Prime Barrel,Neo A6 Relic,Gold,100
Akjagara Prime Barrel,Neo A9 Relic,Gold,100
Akjagara Prime Blueprint,Axi B4 Relic,Bronze,15
Akjagara Prime Blueprint,Axi M3 Relic,Bronze,15
Akjagara Prime Blueprint,Axi P1 Relic,Bronze,15
Akjagara Prime Blueprint,Lith M4 Relic,Bronze,15
Akjagara Prime Blueprint,Lith P7 Relic,Bronze,15
Akjagara Prime Blueprint,Meso D4 Relic,Bronze,15
Akjagara Prime Blueprint,Meso R3 Relic,Bronze,15
Akjagara Prime Blueprint,Neo S9 Relic,Bronze,15
Akjagara Prime Blueprint,Neo Z5 Relic,Bronze,15
Akjagara Prime Link,Axi R3 Relic,Silver,45
Akjagara Prime Link,Lith P3 Relic,Silver,45
Akjagara Prime Link,Meso B7 Relic,Silver,45
Akjagara Prime Link,Meso M2 Relic,Silver,45
Akjagara Prime Link,Meso N9 Relic,Silver,45
Akjagara Prime Link,Meso Z3 Relic,Silver,45
Akjagara Prime Link,Neo R5 Relic,Silver,45
Akjagara Prime Receiver,Axi L3 Relic,Silver,45
Akjagara Prime Receiver,Lith M6 Relic,Silver,45
Akjagara Prime Receiver,Lith N9 Relic,Silver,45
Akjagara Prime Receiver,Meso L2 Relic,Silver,45
Akjagara Prime Receiver,Neo I1 Relic,Silver,45
Akjagara Prime Receiver,Neo P1 Relic,Silver,45
Akjagara Prime Receiver,Neo Z3 Relic,Silver,45
Aklex Prime Blueprint,Axi A2 Relic,Silver,45
Aklex Prime Blueprint,Neo O1 Relic,Silver,45
Aklex Prime Link,Axi A2 Relic,Gold,100
Akmagnus Prime Blueprint,Axi M5 Relic,Bronze,15
Akmagnus Prime Link,Axi M5 Relic,Silver,45
Aksomati Prime Barrel,Lith B7 Relic,Silver,45
Aksomati Prime Barrel,Meso D6 Relic,Silver,45
Aksomati Prime Barrel,Meso S10 Relic,Silver,45
Aksomati Prime Barrel,Neo S16 Relic,Silver,45
Aksomati Prime Barrel,Neo Z5 Relic,Silver,45
Aksomati Prime Blueprint,Axi B4 Relic,Bronze,15
Aksomati Prime Blueprint,Axi G6 Relic,Bronze,15
Aksomati Prime Blueprint,Lith B8 Relic,Bronze,15
Aksomati Prime Blueprint,Lith N8 Relic,Bronze,15
Aksomati Prime Blueprint,Meso R2 Relic,Bronze,15
Aksomati Prime Blueprint,Neo I3 Relic,Bronze,15
Aksomati Prime Blueprint,Neo N13 Relic,Bronze,15
Aksomati Prime Blueprint,Neo R4 Relic,Bronze,15
Aksomati Prime Link,Axi A10 Relic,Gold,100
Aksomati Prime Link,Axi A13 Relic,Gold,100
Aksomati Prime Link,Axi A14 Relic,Gold,100
Aksomati Prime Link,Axi A15 Relic,Gold,100
Aksomati Prime Link,Axi A8 Relic,Gold,100
Aksomati Prime Receiver,Axi D2 Relic,Bronze,15
Aksomati Prime Receiver,Axi G4 Relic,Bronze,15
Aksomati Prime Receiver,Axi S13 Relic,Bronze,15
Aksomati Prime Receiver,Axi W1 Relic,Bronze,15
Aksomati Prime Receiver,Lith K6 Relic,Bronze,15
Aksomati Prime Receiver,Lith N6 Relic,Bronze,15
Aksomati Prime Receiver,Neo B7 Relic,Bronze,15
Aksomati Prime Receiver,Neo P2 Relic,Bronze,15
Aksomati Prime Receiver,Neo T5 Relic,Bronze,15
Akstiletto Prime Barrel,Axi A1 Relic,Silver,45
Akstiletto Prime Barrel,Axi H2 Relic,Silver,45
Akstiletto Prime Barrel,Lith A5 Relic,Silver,45
Akstiletto Prime Barrel,Lith H1 Relic,Silver,45
Akstiletto Prime Barrel,Meso K1 Relic,Silver,45
Akstiletto Prime Barrel,Meso V6 Relic,Bronze,15
Akstiletto Prime Blueprint,Lith A1 Relic,Gold,100
Akstiletto Prime Blueprint,Lith A2 Relic,Gold,100
Akstiletto Prime Blueprint,Neo A1 Relic,Gold,100
Akstiletto Prime Blueprint,Neo A4 Relic,Gold,100
Akstiletto Prime Blueprint,Neo A7 Relic,Gold,100
Akstiletto Prime Link,Axi N1 Relic,Silver,45
Akstiletto Prime Link,Lith V7 Relic,Silver,45
Akstiletto Prime Link,Meso O1 Relic,Silver,45
Akstiletto Prime Link,Neo D6 Relic,Silver,45
Akstiletto Prime Link,Neo N5 Relic,Silver,45
Akstiletto Prime Receiver,Axi A7 Relic,Bronze,15
Akstiletto Prime Receiver,Axi H1 Relic,Silver,45
Akstiletto Prime Receiver,Axi K1 Relic,Silver,45
Akstiletto Prime Receiver,Axi O1 Relic,Silver,45
Akstiletto Prime Receiver,Axi T1 Relic,Silver,45
Akstiletto Prime Receiver,Meso T6 Relic,Silver,45
Akvasto Prime Blueprint,Axi A5 Relic,Gold,100
Akvasto Prime Link,Axi A5 Relic,Silver,45
Ankyros Prime Blade,Axi R1 Relic,Silver,45
Ankyros Prime Blade,Axi S3 Relic,Silver,45
Ankyros Prime Blade,Neo G6 Relic,Silver,45
Ankyros Prime Blueprint,Lith B1 Relic,Bronze,15
Ankyros Prime Blueprint,Lith B4 Relic,Bronze,15
Ankyros Prime Blueprint,Lith E1 Relic,Bronze,15
Ankyros Prime Gauntlet,Meso M1 Relic,Bronze,15
Ankyros Prime Gauntlet,Meso S14 Relic,Bronze,15
Ankyros Prime Gauntlet,Neo R1 Relic,Bronze,15
Ash Prime Blueprint,Axi I3 Relic,Silver,45
Ash Prime Blueprint,Lith S3 Relic,Silver,45
Ash Prime Blueprint,Lith V7 Relic,Silver,45
Ash Prime Blueprint,Meso C1 Relic,Silver,45
Ash Prime Blueprint,Meso S3 Relic,Silver,45
Ash Prime Chassis Blueprint,Axi B1 Relic,Bronze,15
Ash Prime Chassis Blueprint,Axi K12 Relic,Bronze,15
Ash Prime Chassis Blueprint,Lith V8 Relic,Bronze,15
Ash Prime Chassis Blueprint,Meso V2 Relic,Bronze,15
Ash Prime Chassis Blueprint,Neo N4 Relic,Bronze,15
Ash Prime Neuroptics Blueprint,Axi N2 Relic,Silver,45
Ash Prime Neuroptics Blueprint,Meso N2 Relic,Silver,45
Ash Prime Neuroptics Blueprint,Meso P12 Relic,Silver,45
Ash Prime Neuroptics Blueprint,Meso V4 Relic,Silver,45
Ash Prime Neuroptics Blueprint,Neo A4 Relic,Silver,45
Ash Prime Neuroptics Blueprint,Neo N3 Relic,Silver,45
Ash Prime Neuroptics Blueprint,Neo V4 Relic,Silver,45
Ash Prime Systems Blueprint,Axi A7 Relic,Gold,100
Ash Prime Systems Blueprint,Axi N1 Relic,Gold,100
Ash Prime Systems Blueprint,Neo A10 Relic,Gold,100
Ash Prime Systems Blueprint,Neo N5 Relic,Silver,45
Astilla Prime Barrel,Lith A4 Relic,Gold,100
Astilla Prime Barrel,Meso A3 Relic,Gold,100
Astilla Prime Barrel,Meso A6 Relic,Gold,100
Astilla Prime Barrel,Neo A8 Relic,Gold,100
Astilla Prime Blueprint,Axi G7 Relic,Silver,45
Astilla Prime Blueprint,Axi N9 Relic,Silver,45
Astilla Prime Blueprint,Lith T11 Relic,Silver,45
Astilla Prime Blueprint,Meso H3 Relic,Silver,45
Astilla Prime Blueprint,Meso I2 Relic,Silver,45
Astilla Prime Blueprint,Meso R5 Relic,Silver,45
Astilla Prime Blueprint,Neo T4 Relic,Silver,45
Astilla Prime Receiver,Axi N7 Relic,Bronze,15
Astilla Prime Receiver,Lith B10 Relic,Bronze,15
Astilla Prime Receiver,Lith H3 Relic,Bronze,15
Astilla Prime Receiver,Lith N12 Relic,Bronze,15
Astilla Prime Receiver,Lith N8 Relic,Bronze,15
Astilla Prime Receiver,Meso C10 Relic,Bronze,15
Astilla Prime Receiver,Neo S15 Relic,Bronze,15
Astilla Prime Receiver,Neo T6 Relic,Bronze,15
Astilla Prime Stock,Axi V11 Relic,Silver,45
Astilla Prime Stock,Lith K9 Relic,Silver,45
Astilla Prime Stock,Lith N11 Relic,Silver,45
Astilla Prime Stock,Lith T8 Relic,Silver,45
Astilla Prime Stock,Meso N13 Relic,Silver,45
Astilla Prime Stock,Meso T5 Relic,Silver,45
Astilla Prime Stock,Neo P3 Relic,Silver,45
Atlas Prime Blueprint,Lith D1 Relic,Bronze,15
Atlas Prime Blueprint,Lith K6 Relic,Bronze,15
Atlas Prime Blueprint,Lith M5 Relic,Bronze,15
Atlas Prime Blueprint,Lith P3 Relic,Bronze,15
Atlas Prime Blueprint,Lith P5 Relic,Bronze,15
Atlas Prime Blueprint,Lith V9 Relic,Bronze,15
Atlas Prime Blueprint,Neo Z7 Relic,Bronze,15
Atlas Prime Chassis Blueprint,Axi B3 Relic,Silver,45
Atlas Prime Chassis Blueprint,Lith B8 Relic,Silver,45
Atlas Prime Chassis Blueprint,Meso E3 Relic,Silver,45
Atlas Prime Chassis Blueprint,Neo A7 Relic,Silver,45
Atlas Prime Chassis Blueprint,Neo E2 Relic,Silver,45
Atlas Prime Chassis Blueprint,Neo M3 Relic,Silver,45
Atlas Prime Chassis Blueprint,Neo T3 Relic,Silver,45
Atlas Prime Neuroptics Blueprint,Axi A11 Relic,Gold,100
Atlas Prime Neuroptics Blueprint,Axi A6 Relic,Gold,100
Atlas Prime Neuroptics Blueprint,Axi A9 Relic,Gold,100
Atlas Prime Neuroptics Blueprint,Lith A5 Relic,Gold,100
Atlas Prime Neuroptics Blueprint,Neo A5 Relic,Gold,100
Atlas Prime Systems Blueprint,Axi F1 Relic,Silver,45
Atlas Prime Systems Blueprint,Lith N4 Relic,Silver,45
Atlas Prime Systems Blueprint,Meso C4 Relic,Silver,45
Atlas Prime Systems Blueprint,Meso G2 Relic,Silver,45
Atlas Prime Systems Blueprint,Meso I1 Relic,Silver,45
Atlas Prime Systems Blueprint,Neo A3 Relic,Silver,45
Atlas Prime Systems Blueprint,Neo N15 Relic,Silver,45
Ballistica Prime Blueprint,Lith B2 Relic,Gold,100
Ballistica Prime Blueprint,Lith B3 Relic,Gold,100
Ballistica Prime Blueprint,Lith B5 Relic,Gold,100
Ballistica Prime Blueprint,Lith B6 Relic,Gold,100
Ballistica Prime Blueprint,Meso B7 Relic,Gold,100
Ballistica Prime Lower Limb,Axi K5 Relic,Bronze,15
Ballistica Prime Lower Limb,Axi V6 Relic,Bronze,15
Ballistica Prime Lower Limb,Lith O1 Relic,Bronze,15
Ballistica Prime Lower Limb,Meso A1 Relic,Bronze,15
Ballistica Prime Lower Limb,Meso M3 Relic,Bronze,15
Ballistica Prime Lower Limb,Neo B5 Relic,Bronze,15
Ballistica Prime Lower Limb,Neo H3 Relic,Bronze,15
Ballistica Prime Receiver,Lith P2 Relic,Silver,45
Ballistica Prime Receiver,Lith R1 Relic,Silver,45
Ballistica Prime Receiver,Meso P1 Relic,Silver,45
Ballistica Prime Receiver,Neo H2 Relic,Silver,45
Ballistica Prime Receiver,Neo L1 Relic,Silver,45
Ballistica Prime Receiver,Neo S7 Relic,Silver,45
Ballistica Prime String,Axi A4 Relic,Silver,45
Ballistica Prime String,Meso G1 Relic,Silver,45
Ballistica Prime String,Meso R1 Relic,Silver,45
Ballistica Prime String,Neo A6 Relic,Silver,45
Ballistica Prime Upper Limb,Axi M3 Relic,Silver,45
Ballistica Prime Upper Limb,Lith T1 Relic,Silver,45
Ballistica Prime Upper Limb,Lith V5 Relic,Silver,45
Ballistica Prime Upper Limb,Meso S8 Relic,Silver,45
Ballistica Prime Upper Limb,Neo N10 Relic,Silver,45
Banshee Prime Blueprint,Axi A12 Relic,Silver,45
Banshee Prime Blueprint,Axi C3 Relic,Silver,45
Banshee Prime Blueprint,Axi K3 Relic,Silver,45
Banshee Prime Blueprint,Meso E5 Relic,Silver,45
Banshee Prime Blueprint,Meso T2 Relic,Silver,45
Banshee Prime Blueprint,Neo H1 Relic,Silver,45
Banshee Prime Blueprint,Neo N7 Relic,Silver,45
Banshee Prime Blueprint,Neo T1 Relic,Silver,45
Banshee Prime Blueprint,Neo V7 Relic,Silver,45
Banshee Prime Chassis Blueprint,Meso B2 Relic,Gold,100
Banshee Prime Chassis Blueprint,Neo B1 Relic,Gold,100
Banshee Prime Chassis Blueprint,Neo B2 Relic,Gold,100
Banshee Prime Chassis Blueprint,Neo B6 Relic,Gold,100
Banshee Prime Neuroptics Blueprint,Axi H5 Relic,Bronze,15
Banshee Prime Neuroptics Blueprint,Lith B5 Relic,Bronze,15
Banshee Prime Neuroptics Blueprint,Lith M7 Relic,Bronze,15
Banshee Prime Neuroptics Blueprint,Lith V5 Relic,Bronze,15
Banshee Prime Neuroptics Blueprint,Meso S4 Relic,Bronze,15
Banshee Prime Neuroptics Blueprint,Neo K2 Relic,Bronze,15
Banshee Prime Neuroptics Blueprint,Neo S7 Relic,Bronze,15
Banshee Prime Systems Blueprint,Axi B1 Relic,Gold,100
Banshee Prime Systems Blueprint,Axi B2 Relic,Gold,100
Banshee Prime Systems Blueprint,Lith K5 Relic,Silver,45
Banshee Prime Systems Blueprint,Neo B4 Relic,Gold,100
Banshee Prime Systems Blueprint,Neo B5 Relic,Gold,100
Baruuk Prime Blueprint,Lith B10 Relic,Gold,100
Baruuk Prime Blueprint,Lith B11 Relic,Gold,100
Baruuk Prime Blueprint,Meso B8 Relic,Gold,100
Baruuk Prime Blueprint,Meso B9 Relic,Gold,100
Baruuk Prime Chassis Blueprint,Lith N15 Relic,Silver,45
Baruuk Prime Chassis Blueprint,Lith P8 Relic,Silver,45
Baruuk Prime Chassis Blueprint,Meso V9 Relic,Silver,45
Baruuk Prime Chassis Blueprint,Neo A8 Relic,Silver,45
Baruuk Prime Chassis Blueprint,Neo K7 Relic,Silver,45
Baruuk Prime Chassis Blueprint,Neo N23 Relic,Silver,45
Baruuk Prime Chassis Blueprint,Neo S17 Relic,Silver,45
Baruuk Prime Neuroptics Blueprint,Axi B5 Relic,Gold,100
Baruuk Prime Neuroptics Blueprint,Axi B6 Relic,Gold,100
Baruuk Prime Neuroptics Blueprint,Axi B7 Relic,Gold,100
Baruuk Prime Neuroptics Blueprint,Axi B8 Relic,Gold,100
Baruuk Prime Neuroptics Blueprint,Neo B9 Relic,Gold,100
Baruuk Prime Systems Blueprint,Axi P7 Relic,Bronze,15
Baruuk Prime Systems Blueprint,Axi W3 Relic,Bronze,15
Baruuk Prime Systems Blueprint,Meso H4 Relic,Bronze,15
Baruuk Prime Systems Blueprint,Meso H6 Relic,Bronze,15
Baruuk Prime Systems Blueprint,Meso H7 Relic,Bronze,15
Baruuk Prime Systems Blueprint,Meso P14 Relic,Bronze,15
Baruuk Prime Systems Blueprint,Meso R5 Relic,Bronze,15
Baza Prime Barrel,Axi I2 Relic,Silver,45
Baza Prime Barrel,Axi Z1 Relic,Silver,45
Baza Prime Barrel,Lith A4 Relic,Silver,45
Baza Prime Barrel,Lith S10 Relic,Silver,45
Baza Prime Barrel,Lith W2 Relic,Silver,45
Baza Prime Barrel,Neo I3 Relic,Silver,45
Baza Prime Barrel,Neo N15 Relic,Silver,45
Baza Prime Blueprint,Axi B4 Relic,Gold,100
Baza Prime Blueprint,Axi S13 Relic,Silver,45
Baza Prime Blueprint,Lith B7 Relic,Gold,100
Baza Prime Blueprint,Lith B8 Relic,Gold,100
Baza Prime Blueprint,Meso B4 Relic,Gold,100
Baza Prime Blueprint,Meso B5 Relic,Gold,100
Baza Prime Receiver,Axi A15 Relic,Bronze,15
Baza Prime Receiver,Axi N7 Relic,Bronze,15
Baza Prime Receiver,Axi W2 Relic,Bronze,15
Baza Prime Receiver,Lith K7 Relic,Bronze,15
Baza Prime Receiver,Meso C6 Relic,Bronze,15
Baza Prime Receiver,Meso E4 Relic,Bronze,15
Baza Prime Receiver,Meso P2 Relic,Bronze,15
Baza Prime Receiver,Neo R3 Relic,Bronze,15
Baza Prime Stock,Axi B3 Relic,Gold,100
Baza Prime Stock,Lith B9 Relic,Gold,100
Baza Prime Stock,Meso B6 Relic,Gold,100
Baza Prime Stock,Neo B7 Relic,Gold,100
Bo Prime Blueprint,Lith G2 Relic,Bronze,15
Bo Prime Blueprint,Lith O2 Relic,Bronze,15
Bo Prime Handle,Neo F1 Relic,Silver,45
Bo Prime Handle,Neo V8 Relic,Silver,45
Bo Prime Ornament,Axi L4 Relic,Bronze,15
Bo Prime Ornament,Meso E1 Relic,Bronze,15
Boar Prime Barrel,Axi D4 Relic,Silver,45
Boar Prime Barrel,Axi V2 Relic,Silver,45
Boar Prime Barrel,Lith M2 Relic,Silver,45
Boar Prime Barrel,Meso M1 Relic,Silver,45
Boar Prime Blueprint,Meso F4 Relic,Silver,45
Boar Prime Blueprint,Neo B3 Relic,Bronze,15
Boar Prime Blueprint,Neo D1 Relic,Bronze,15
Boar Prime Blueprint,Neo N9 Relic,Bronze,15
Boar Prime Receiver,Axi R1 Relic,Bronze,15
Boar Prime Receiver,Axi S4 Relic,Bronze,15
Boar Prime Receiver,Lith L4 Relic,Bronze,15
Boar Prime Receiver,Lith M1 Relic,Bronze,15
Boar Prime Stock,Lith B1 Relic,Gold,100
Boar Prime Stock,Meso B1 Relic,Gold,100
Boar Prime Stock,Meso B3 Relic,Gold,100
Boar Prime Stock,Neo B8 Relic,Gold,100
Boltor Prime Barrel,Lith E1 Relic,Bronze,15
Boltor Prime Barrel,Meso M1 Relic,Bronze,15
Boltor Prime Barrel,Meso N6 Relic,Bronze,15
Boltor Prime Blueprint,Lith B4 Relic,Gold,100
Boltor Prime Blueprint,Meso B10 Relic,Gold,100
Boltor Prime Blueprint,Neo B3 Relic,Gold,100
Boltor Prime Receiver,Lith B1 Relic,Silver,45
Boltor Prime Receiver,Neo G6 Relic,Silver,45
Boltor Prime Receiver,Neo R1 Relic,Silver,45
Boltor Prime Stock,Axi R1 Relic,Bronze,15
Boltor Prime Stock,Axi R4 Relic,Bronze,15
Boltor Prime Stock,Axi S3 Relic,Bronze,15
Braton Prime Barrel,Axi A17 Relic,Bronze,15
Braton Prime Barrel,Axi A3 Relic,Bronze,15
Braton Prime Barrel,Axi C5 Relic,Bronze,15
Braton Prime Barrel,Axi N6 Relic,Bronze,15
Braton Prime Barrel,Lith A1 Relic,Bronze,15
Braton Prime Barrel,Lith C11 Relic,Bronze,15
Braton Prime Barrel,Lith C9 Relic,Bronze,15
Braton Prime Barrel,Lith H4 Relic,Bronze,15
Braton Prime Barrel,Lith K2 Relic,Bronze,15
Braton Prime Barrel,Lith K9 Relic,Bronze,15
Braton Prime Barrel,Lith N14 Relic,Bronze,15
Braton Prime Barrel,Lith P4 Relic,Bronze,15
Braton Prime Barrel,Lith S8 Relic,Bronze,15
Braton Prime Barrel,Meso G1 Relic,Bronze,15
Braton Prime Barrel,Meso H7 Relic,Bronze,15
Braton Prime Barrel,Meso N14 Relic,Bronze,15
Braton Prime Barrel,Meso N3 Relic,Bronze,15
Braton Prime Barrel,Meso O6 Relic,Bronze,15
Braton Prime Barrel,Meso P10 Relic,Bronze,15
Braton Prime Barrel,Meso P4 Relic,Bronze,15
Braton Prime Barrel,Meso R4 Relic,Bronze,15
Braton Prime Barrel,Meso S5 Relic,Bronze,15
Braton Prime Barrel,Meso V6 Relic,Bronze,15
Braton Prime Barrel,Neo A1 Relic,Bronze,15
Braton Prime Barrel,Neo A7 Relic,Bronze,15
Braton Prime Barrel,Neo B5 Relic,Bronze,15
Braton Prime Barrel,Neo D4 Relic,Bronze,15
Braton Prime Barrel,Neo F2 Relic,Bronze,15
Braton Prime Barrel,Neo K2 Relic,Bronze,15
Braton Prime Barrel,Neo N11 Relic,Bronze,15
Braton Prime Barrel,Neo T5 Relic,Bronze,15
Braton Prime Blueprint,Axi A16 Relic,Bronze,15
Braton Prime Blueprint,Axi A7 Relic,Bronze,15
Braton Prime Blueprint,Axi C2 Relic,Bronze,15
Braton Prime Blueprint,Axi C4 Relic,Bronze,15
Braton Prime Blueprint,Axi D1 Relic,Bronze,15
Braton Prime Blueprint,Axi D2 Relic,Bronze,15
Braton Prime Blueprint,Axi G11 Relic,Silver,45
Braton Prime Blueprint,Axi G8 Relic,Bronze,15
Braton Prime Blueprint,Axi K5 Relic,Bronze,15
Braton Prime Blueprint,Axi K6 Relic,Bronze,15
Braton Prime Blueprint,Axi L2 Relic,Bronze,15
Braton Prime Blueprint,Axi N1 Relic,Bronze,15
Braton Prime Blueprint,Axi O6 Relic,Bronze,15
Braton Prime Blueprint,Axi S13 Relic,Bronze,15
Braton Prime Blueprint,Axi T4 Relic,Bronze,15
Braton Prime Blueprint,Axi V6 Relic,Bronze,15
Braton Prime Blueprint,Lith B11 Relic,Silver,45
Braton Prime Blueprint,Lith C3 Relic,Silver,45
Braton Prime Blueprint,Lith N3 Relic,Silver,45
Braton Prime Blueprint,Lith N7 Relic,Bronze,15
Braton Prime Blueprint,Lith R4 Relic,Bronze,15
Braton Prime Blueprint,Lith S12 Relic,Silver,45
Braton Prime Blueprint,Lith T2 Relic,Silver,45
Braton Prime Blueprint,Lith T6 Relic,Bronze,15
Braton Prime Blueprint,Lith V3 Relic,Bronze,15
Braton Prime Blueprint,Meso B2 Relic,Bronze,15
Braton Prime Blueprint,Meso B9 Relic,Bronze,15
Braton Prime Blueprint,Meso P6 Relic,Bronze,15
Braton Prime Blueprint,Meso R1 Relic,Bronze,15
Braton Prime Blueprint,Meso S9 Relic,Bronze,15
Braton Prime Blueprint,Meso V1 Relic,Silver,45
Braton Prime Blueprint,Meso Z2 Relic,Bronze,15
Braton Prime Blueprint,Neo B7 Relic,Bronze,15
Braton Prime Blueprint,Neo D6 Relic,Bronze,15
Braton Prime Blueprint,Neo T3 Relic,Bronze,15
Braton Prime Blueprint,Neo Z6 Relic,Bronze,15
